Word,TF-IDF
14,0.0038298999308095075
1500,0.0038298999308095075
1947,0.0038298999308095075
1a,0.0038298999308095075
1b,0.0038298999308095075
1c,0.007659799861619015
1d,0.0038298999308095075
1e,0.007659799861619015
1e1,0.01914949965404754
1e2,0.0038298999308095075
1e3,0.0038298999308095075
1e4,0.0038298999308095075
1e5,0.0038298999308095075
1e6,0.0038298999308095075
1e7,0.011489699792428523
1e8,0.01531959972323803
1e9,0.011489699792428523
1f,0.0038298999308095075
1f1,0.0038298999308095075
1f2,0.0038298999308095075
1f3,0.01914949965404754
1f4,0.0038298999308095075
1f5,0.0038298999308095075
1f6,0.0038298999308095075
20,0.0038298999308095075
2001,0.0038298999308095075
2021,0.0038298999308095075
30,0.0038298999308095075
50,0.0038298999308095075
5000,0.0038298999308095075
501c3,0.0038298999308095075
5961887,0.0038298999308095075
60,0.0038298999308095075
64293,0.0038298999308095075
646221541,0.0038298999308095075
801,0.0038298999308095075
809,0.0038298999308095075
84116,0.0038298999308095075
90,0.007659799861619015
abide,0.0038298999308095075
able,0.007659799861619015
abruptly,0.007659799861619015
absolute,0.0038298999308095075
absolutely,0.0038298999308095075
absorbed,0.0038298999308095075
abyss,0.007659799861619015
acceleration,0.0038298999308095075
accept,0.0038298999308095075
accepted,0.007659799861619015
accepting,0.0038298999308095075
access,0.03829899930809508
accessed,0.0038298999308095075
accessible,0.0038298999308095075
accomplish,0.0038298999308095075
accordance,0.007659799861619015
according,0.007659799861619015
across,0.01531959972323803
act,0.011489699792428523
action,0.0038298999308095075
active,0.007659799861619015
actual,0.0038298999308095075
actually,0.0038298999308095075
ad,0.0038298999308095075
adam,0.011489699792428523
addition,0.0038298999308095075
additional,0.011489699792428523
additions,0.0038298999308095075
address,0.0038298999308095075
addresses,0.0038298999308095075
administered,0.0038298999308095075
adorable,0.0038298999308095075
advanced,0.0038298999308095075
afford,0.0038298999308095075
afraid,0.03446909937728557
after,0.0038298999308095075
again,0.01914949965404754
agency,0.011489699792428523
agent,0.007659799861619015
agility,0.0038298999308095075
agonizing,0.0038298999308095075
agree,0.03829899930809508
agreed,0.007659799861619015
agreement,0.06893819875457113
air,0.011489699792428523
alien,0.011489699792428523
all,0.03829899930809508
allotted,0.0038298999308095075
allow,0.0038298999308095075
allowed,0.0038298999308095075
almost,0.03063919944647606
alone,0.007659799861619015
along,0.011489699792428523
already,0.007659799861619015
also,0.01914949965404754
alter,0.0038298999308095075
alteration,0.0038298999308095075
altered,0.0038298999308095075
alternate,0.0038298999308095075
alternative,0.0038298999308095075
always,0.011489699792428523
am,0.0038298999308095075
amnesiac,0.007659799861619015
amnesiacnot,0.0038298999308095075
among,0.007659799861619015
anachronism,0.0038298999308095075
analyze,0.0038298999308095075
anarchistic,0.0038298999308095075
and,0.04595879916971409
animal,0.0038298999308095075
another,0.01531959972323803
answered,0.01531959972323803
any,0.007659799861619015
anyone,0.022979399584857046
anything,0.026809299515666553
anyway,0.022979399584857046
anywhere,0.007659799861619015
